candidate_names,capability_choice_correct,condition,constraint_violation,family,generated_text,generated_tokens,instruction_following_success,materialization_seconds,max_candidates,model_invocations,native_kv_bytes,phase_a_capability_tokens,phase_a_selected_name,phase_a_ttft_seconds,phase_b_capability_tokens,phase_b_ttft_seconds,phase_transition_overhead_seconds,prompt_tokens,query_id,required_skill_recall_at_k,selected_name,target_name,task_success,total_capability_tokens,total_ttft_seconds,wall_clock_seconds,wrong_skill_use,context_fit,generation_error
github_pr_review|github_issue_triage,0,S0_full_all,0,engineering_intake,"SKILL_APPLIED: github_pr_review  \nDecision: The proposed code change is reviewed for correctness, risk, and maintainability.  \nEvidence: The code change addresses a critical bug in the current implementation.  \nNext action: Implement the fix and update documentation.",53,1,0.00014050002209842205,2,1,106774528,931,,2.325405200012028,0,0.0,0.0,994,github_issue_triage-test,1,github_pr_review,github_issue_triage,0,931,2.325405200012028,10.15186890005134,1,,
github_pr_review|github_issue_triage,0,S1_selection_only,0,engineering_intake,"The incoming tickets should be reviewed using the `github_pr_review` skill to assess the correctness, risk, and maintainability of the proposed code changes. Additionally, the `github_issue_triage` skill should be used to prioritize the issues based on their impact, evidence, and reproducibility.",60,0,0.00012489990331232548,2,1,23511040,205,,0.5605504000559449,0,0.0,0.0,268,github_issue_triage-test,1,,github_issue_triage,0,205,0.5605504000559449,8.868946999777108,0,,
github_pr_review|github_issue_triage,1,S2_selection_to_full,0,engineering_intake,"SKILL_APPLIED: github_issue_triage  \nDecision: The ticket is a defect requiring developer attention. Evidence: The ticket includes a detailed description of the issue, reproducibility test results, and a clear cause. Next action: Review the issue with the relevant developer to address the defect.",70,1,0.004674700088799,2,2,77987840,205,github_issue_triage,0.5485764001496136,475,1.1359476000070572,0.004452000139281154,812,github_issue_triage-test,1,github_issue_triage,github_issue_triage,1,680,1.6845240001566708,11.18119060038589,0,,
github_pr_review|github_issue_triage,1,S3_oracle_full,0,engineering_intake,"SKILL_APPLIED: github_issue_triage  \nDecision: The ticket is a defect requiring developer attention. Evidence: The ticket includes a detailed description of the issue, reproducibility test results, and a clear cause. Next action: Review the issue with the relevant developer to address the defect.",60,1,0.0002656998112797737,2,1,54476800,475,,1.1398648999165744,0,0.0,0.0,538,github_issue_triage-test,1,github_issue_triage,github_issue_triage,1,475,1.1398648999165744,10.04688569973223,0,,
github_pr_review|github_issue_triage|accessibility_review|meeting_summary,0,S0_full_all,0,engineering_intake,"SKILL_APPLIED: github_pr_review  \nDecision: The proposed code change is reviewed for correctness, risk, and maintainability.  \nEvidence: The code change addresses a critical bug in the database query logic.  \nNext action: Implement the fix and update documentation.",54,1,0.0005399000365287066,4,1,213434368,1861,,6.172810600139201,0,0.0,0.0,1924,github_issue_triage-test,1,github_pr_review,github_issue_triage,0,1861,6.172810600139201,18.95533930021338,1,,
github_pr_review|github_issue_triage|accessibility_review|meeting_summary,0,S1_selection_only,0,engineering_intake,"The incoming tickets should be reviewed to determine which reports require developer attention now. Based on the available skills, the most appropriate one to apply is **github_pr_review**. This skill is used to review a proposed code change for correctness, risk, and maintainability. The tickets should be evaluated for these criteria to ensure they meet the necessary standards for development.",72,0,0.0008407998830080032,4,1,46219264,403,,0.9581605999264866,0,0.0,0.0,466,github_issue_triage-test,1,,github_issue_triage,0,403,0.9581605999264866,10.985590999945998,0,,
github_pr_review|github_issue_triage|accessibility_review|meeting_summary,0,S2_selection_to_full,0,engineering_intake,,6,0,0.00014679995365440845,4,1,46219264,403,review,0.9232088997960091,0,0.0,0.0,472,github_issue_triage-test,1,,github_issue_triage,0,403,0.9232088997960091,1.6272273999638855,1,,
github_pr_review|github_issue_triage|accessibility_review|meeting_summary,1,S3_oracle_full,0,engineering_intake,"SKILL_APPLIED: github_issue_triage  \nDecision: The ticket is a defect requiring developer attention. Evidence: The ticket includes a detailed description of the issue, reproducibility test results, and a clear cause. Next action: Review the issue with the relevant developer to address the defect.",60,1,0.00014279992319643497,4,1,54476800,475,,1.1512305999640375,0,0.0,0.0,538,github_issue_triage-test,1,github_issue_triage,github_issue_triage,1,475,1.1512305999640375,9.392959599848837,0,,
github_pr_review|github_issue_triage|accessibility_review|meeting_summary|security_review|api_design_review,0,S0_full_all,0,engineering_intake,"SKILL_APPLIED: github_pr_review  \nDecision: The proposed code change is reviewed for correctness, risk, and maintainability.  \nEvidence: The code change addresses a critical bug in the database query logic.  \nNext action: Implement the fix and update documentation.",54,1,0.0013096998445689678,6,1,322617344,2813,,12.095645900117233,0,0.0,0.0,2876,github_issue_triage-test,1,github_pr_review,github_issue_triage,0,2813,12.095645900117233,29.143975099781528,1,,
github_pr_review|github_issue_triage|accessibility_review|meeting_summary|security_review|api_design_review,0,S1_selection_only,0,engineering_intake,"The incoming tickets should be reviewed to determine which reports require developer attention now. Based on the available skills, the most appropriate one to apply is **github_pr_review**. This skill is used to review a proposed code change for correctness, risk, and maintainability.",54,0,0.00037809996865689754,6,1,69271552,604,,1.5161800999194384,0,0.0,0.0,667,github_issue_triage-test,1,,github_issue_triage,0,604,1.5161800999194384,9.103315999964252,0,,
