window,seed,policy,evidence_condition,n,correct,full_vocabulary_correct,correct_margin,correct_probability,reference_recall,complete_path_recovery,layer_token_kv_states,brier_score
global,17,iterative_matched,e0,16,0.125,0.125,-3.5500537306070328,0.10742641766228189,0.0,0.0,0.0,1.2797430148348212
global,17,iterative_matched,oracle,16,0.25,0.25,-0.8832930773496628,0.31393671364639886,1.0,1.0,20.0,0.9598907694361856
global,17,iterative_matched,selected,16,0.25,0.25,-2.9380056113004684,0.2632854582188884,0.4791666666666667,0.3125,20.0,1.21287604076133
global,17,iterative_matched,shuffle,16,0.125,0.125,-2.937445566058159,0.11526928631428746,0.5260416666666666,0.375,20.0,1.2171088736504316
global,17,iterative_matched,wrong,16,0.0625,0.0625,-4.419002830982208,0.0528395416240528,0.0,0.0,20.0,1.4748056754469872
global,17,one_shot,e0,16,0.125,0.125,-3.5500537306070328,0.10742641766228189,0.0,0.0,0.0,1.2797430148348212
global,17,one_shot,oracle,16,0.25,0.25,-2.0617902129888535,0.23569559515908622,1.0,1.0,20.0,1.166376414249271
global,17,one_shot,selected,16,0.1875,0.1875,-3.5647744834423065,0.18730385242815828,0.6145833333333334,0.4375,20.0,1.358815268129547
global,17,one_shot,shuffle,16,0.25,0.25,-2.7137757539749146,0.19607693233001555,0.6145833333333334,0.4375,20.0,1.2238812422610863
global,17,one_shot,wrong,16,0.1875,0.1875,-4.33000910282135,0.14786461320272792,0.0,0.0,20.0,1.4384966516554414
global,17,oracle_layer_0,oracle,16,0.25,0.25,-2.0617902129888535,0.23569559515908622,1.0,1.0,20.0,1.166376414249271
global,17,oracle_layer_1,oracle,16,0.25,0.25,-3.0139840692281723,0.1880034758360125,1.0,1.0,20.0,1.2415643325075507
global,17,oracle_layer_2,oracle,16,0.375,0.375,-1.9228734076023102,0.27010831124789547,1.0,1.0,20.0,1.0195285817608237
global,17,oracle_layer_3,oracle,16,0.0,0.0,-3.095059499144554,0.08417924789682729,1.0,1.0,20.0,1.302295871078968
global,17,oracle_layer_4,oracle,16,0.125,0.125,-2.944210037589073,0.11840243050755817,1.0,1.0,20.0,1.2541973404586315
global,17,oracle_layer_5,oracle,16,0.125,0.125,-2.8219181150197983,0.09631252603139728,1.0,1.0,20.0,1.21666856482625
global,17,spacing_1,selected,16,0.3125,0.3125,-2.372585192322731,0.2718669773948932,0.7135416666666666,0.5625,29.6875,1.1418033883137468
global,17,spacing_2,selected,16,0.25,0.25,-3.199617177248001,0.2516760001053626,0.4479166666666667,0.25,15.0,1.3038908721991902
global,17,spacing_4,selected,16,0.125,0.125,-4.210085362195969,0.13654140804374038,0.17708333333333334,0.0625,10.0,1.453944790391688
global,29,iterative_matched,e0,16,0.1875,0.1875,-3.0483782440423965,0.14543271626826026,0.0,0.0,0.0,1.1489917021244764
global,29,iterative_matched,oracle,16,0.5,0.5,-0.18246802687644958,0.4650301378524091,1.0,1.0,20.0,0.6899968060060928
global,29,iterative_matched,selected,16,0.25,0.25,-1.695968821644783,0.23112080441205762,0.7447916666666666,0.5625,20.0,1.0126295108348131
global,29,iterative_matched,shuffle,16,0.3125,0.3125,-2.4591340869665146,0.22885172405221965,0.7447916666666666,0.5625,20.0,1.1136736539883714
global,29,iterative_matched,wrong,16,0.0,0.0,-3.942621409893036,0.03410836350667523,0.0,0.0,20.0,1.4305225647985935
global,29,one_shot,e0,16,0.1875,0.1875,-3.0483782440423965,0.14543271626826026,0.0,0.0,0.0,1.1489917021244764
global,29,one_shot,oracle,16,0.5625,0.5625,-0.10251142084598541,0.521623793987601,1.0,1.0,20.0,0.6860217753528559
global,29,one_shot,selected,16,0.375,0.375,-1.6274297088384628,0.35353392913657444,0.671875,0.5625,20.0,0.9912447136739502
global,29,one_shot,shuffle,16,0.25,0.25,-2.290376752614975,0.28670663471530133,0.671875,0.5625,20.0,1.065016460293009
global,29,one_shot,wrong,16,0.125,0.125,-3.34226194024086,0.11382184055401012,0.0,0.0,20.0,1.285160956904292
global,29,oracle_layer_0,oracle,16,0.5625,0.5625,-0.10251142084598541,0.521623793987601,1.0,1.0,20.0,0.6860217753528559
global,29,oracle_layer_1,oracle,16,0.5,0.5,-0.8662117719650269,0.4317643637268702,1.0,1.0,20.0,0.7744822717213538
global,29,oracle_layer_2,oracle,16,0.375,0.375,-1.5659360587596893,0.30736830181558616,1.0,1.0,20.0,1.0892454234744946
global,29,oracle_layer_3,oracle,16,0.1875,0.1875,-1.461465284228325,0.2676011372996072,1.0,1.0,20.0,0.9243740502279252
global,29,oracle_layer_4,oracle,16,0.1875,0.1875,-2.5955058485269547,0.1567496135503461,1.0,1.0,20.0,1.1286925617605448
global,29,oracle_layer_5,oracle,16,0.1875,0.1875,-2.958378553390503,0.1651557086097455,1.0,1.0,20.0,1.1528910524211824
global,29,spacing_1,selected,16,0.375,0.375,-1.4683479070663452,0.30826015955790353,0.8229166666666666,0.625,29.6875,0.9370041796646547
global,29,spacing_2,selected,16,0.1875,0.1875,-1.7488279938697815,0.22963499468460213,0.6458333333333334,0.5,15.0,1.0220804158598185
global,29,spacing_4,selected,16,0.4375,0.4375,-0.9228640198707581,0.40493144482388743,0.4270833333333333,0.3125,10.0,0.9176362676907956
global,41,iterative_matched,e0,16,0.125,0.125,-2.6457043141126633,0.1760769857228297,0.0,0.0,0.0,1.1636380305571947
global,41,iterative_matched,oracle,16,0.3125,0.3125,-1.7246882766485214,0.26997956703417003,1.0,1.0,20.0,1.0219135466613807
global,41,iterative_matched,selected,16,0.125,0.125,-2.827592357993126,0.15223292828522972,0.6041666666666666,0.4375,20.0,1.3091906220070086
global,41,iterative_matched,shuffle,16,0.125,0.125,-2.42146934568882,0.15957282369163295,0.6666666666666666,0.5,20.0,1.2441342512902338
global,41,iterative_matched,wrong,16,0.125,0.125,-3.7532041519880295,0.09440228560106334,0.0,0.0,20.0,1.3320365343242884
