profile,fact_type,condition,examples,evidence_recall,target_literal_retained,target_term_retention,summary_index_bytes,ingestion_seconds
subb_600m,alias,entity_rare_bm25,4,1.0,1.0,1.0,476.0,0.0
subb_600m,alias,salient_sentence_bm25,4,0.25,0.0,0.0,512.0,0.0
subb_600m,alias,source_bm25,4,1.0,1.0,1.0,1699.0,0.0
subb_600m,alias,subb_600m_retrieval_summary_bm25,4,0.25,0.0,0.0,1050.0,10.10775597509928
subb_600m,alias,subb_600m_retrieval_summary_bm25_shuffled,4,0.25,0.0,0.0,1050.0,10.10775597509928
subb_600m,date_number,entity_rare_bm25,4,1.0,0.0,0.75,467.0,0.0
subb_600m,date_number,salient_sentence_bm25,4,0.25,0.0,0.0,512.0,0.0
subb_600m,date_number,source_bm25,4,1.0,1.0,1.0,1689.0,0.0
subb_600m,date_number,subb_600m_retrieval_summary_bm25,4,1.0,0.0,0.0,1047.75,14.179273300163914
subb_600m,date_number,subb_600m_retrieval_summary_bm25_shuffled,4,0.25,0.0,0.0,1047.75,14.179273300163914
subb_600m,entity,entity_rare_bm25,4,1.0,0.0,0.6666666666666666,479.0,0.0
subb_600m,entity,salient_sentence_bm25,4,0.0,0.0,0.0,512.0,0.0
subb_600m,entity,source_bm25,4,1.0,1.0,1.0,1689.0,0.0
subb_600m,entity,subb_600m_retrieval_summary_bm25,4,0.75,0.0,0.16666666666666666,1048.75,13.989288200216834
subb_600m,entity,subb_600m_retrieval_summary_bm25_shuffled,4,0.5,0.0,0.0,1048.75,13.989288200216834
subb_600m,rare_string,entity_rare_bm25,4,1.0,1.0,1.0,489.0,0.0
subb_600m,rare_string,salient_sentence_bm25,4,0.25,0.0,0.0,512.0,0.0
subb_600m,rare_string,source_bm25,4,1.0,1.0,1.0,1709.0,0.0
subb_600m,rare_string,subb_600m_retrieval_summary_bm25,4,1.0,0.0,0.0,1043.25,14.201965625106823
subb_600m,rare_string,subb_600m_retrieval_summary_bm25_shuffled,4,0.5,0.0,0.0,1043.25,14.201965625106823
subb_600m,relation,entity_rare_bm25,4,1.0,0.0,0.8333333333333334,471.0,0.0
subb_600m,relation,salient_sentence_bm25,4,0.5,0.0,0.0,512.0,0.0
subb_600m,relation,source_bm25,4,1.0,1.0,1.0,1710.0,0.0
subb_600m,relation,subb_600m_retrieval_summary_bm25,4,1.0,0.0,0.625,1039.5,14.0849083251087
subb_600m,relation,subb_600m_retrieval_summary_bm25_shuffled,4,0.75,0.0,0.5416666666666666,1039.5,14.0849083251087
