control,partition,dataset,example_id,seed,fraction,budget,facet_config,facet_family,facet_reduction,include_global,query_support_mode,query_support_span,query_support_tokens,query_facet_count,oracle_root_parent,oracle_root_rank,oracle_root_present,mrr,recall_at_1,recall_at_2,recall_at_4,recall_at_8,oracle_margin,score_entropy,oracle_recall,oracle_precision,oracle_jaccard,complete_oracle,false_positive_parent_count,winning_facet,winning_facet_kind,winning_facet_family,winning_facet_span,selected_parent_ids,stale_parent,stale_parent_selected,junk_target_tokens,junk_observed_tokens,q_memory_comparisons,final_parent_count,active_final_kv_tokens,active_final_kv_fraction,scoring_wall_time,full_query_forward_count,independent_window_forward_count
clean_facet_type,validation,hotpotqa,5adc3aff5542996e685252eb,11,0.1,1,global,global,max,True,question,"[10, 28]",18,1,2,4,0.0,0.25,0.0,0.0,1.0,1.0,-0.3777855113148689,1.5911533832550049,0.0,0.0,0.0,0.0,1,0,global,global,"[36, 37]",[3],,,,,5,1,256,0.21035332785538208,0.07494980003684759,1,0
clean_facet_type,validation,hotpotqa,5adc3aff5542996e685252eb,11,0.2,1,global,global,max,True,question,"[10, 28]",18,1,2,4,0.0,0.25,0.0,0.0,1.0,1.0,-0.3777855113148689,1.5911533832550049,0.0,0.0,0.0,0.0,1,0,global,global,"[36, 37]",[3],,,,,5,1,256,0.21035332785538208,0.07494980003684759,1,0
clean_facet_type,validation,hotpotqa,5adc3aff5542996e685252eb,11,0.3,2,global,global,max,True,question,"[10, 28]",18,1,2,4,0.0,0.25,0.0,0.0,1.0,1.0,-0.3777855113148689,1.5911533832550049,0.5,0.5,0.3333333333333333,0.0,1,0,global,global,"[36, 37]","[3, 4]",,,,,5,2,449,0.3689400164338537,0.07494980003684759,1,0
clean_facet_type,validation,hotpotqa,5adc3aff5542996e685252eb,11,0.4,2,global,global,max,True,question,"[10, 28]",18,1,2,4,0.0,0.25,0.0,0.0,1.0,1.0,-0.3777855113148689,1.5911533832550049,0.5,0.5,0.3333333333333333,0.0,1,0,global,global,"[36, 37]","[3, 4]",,,,,5,2,449,0.3689400164338537,0.07494980003684759,1,0
clean_facet_type,validation,hotpotqa,5adc3aff5542996e685252eb,11,0.1,1,w2_s1,window,max,True,question,"[10, 28]",18,18,2,4,0.0,0.25,0.0,0.0,1.0,1.0,-0.1793527752161026,1.6039868593215942,0.5,1.0,0.5,0.0,0,7,local,window_2,"[16, 18]",[4],,,,,90,1,193,0.15858668857847166,0.00815920002060011,1,0
clean_facet_type,validation,hotpotqa,5adc3aff5542996e685252eb,11,0.2,1,w2_s1,window,max,True,question,"[10, 28]",18,18,2,4,0.0,0.25,0.0,0.0,1.0,1.0,-0.1793527752161026,1.6039868593215942,0.5,1.0,0.5,0.0,0,7,local,window_2,"[16, 18]",[4],,,,,90,1,193,0.15858668857847166,0.00815920002060011,1,0
clean_facet_type,validation,hotpotqa,5adc3aff5542996e685252eb,11,0.3,2,w2_s1,window,max,True,question,"[10, 28]",18,18,2,4,0.0,0.25,0.0,0.0,1.0,1.0,-0.1793527752161026,1.6039868593215942,0.5,0.5,0.3333333333333333,0.0,1,7,local,window_2,"[16, 18]","[4, 0]",,,,,90,2,449,0.3689400164338537,0.00815920002060011,1,0
clean_facet_type,validation,hotpotqa,5adc3aff5542996e685252eb,11,0.4,2,w2_s1,window,max,True,question,"[10, 28]",18,18,2,4,0.0,0.25,0.0,0.0,1.0,1.0,-0.1793527752161026,1.6039868593215942,0.5,0.5,0.3333333333333333,0.0,1,7,local,window_2,"[16, 18]","[4, 0]",,,,,90,2,449,0.3689400164338537,0.00815920002060011,1,0
clean_facet_type,validation,hotpotqa,5adc3aff5542996e685252eb,11,0.1,1,w4_s2,window,max,True,question,"[10, 28]",18,9,2,4,0.0,0.25,0.0,0.0,1.0,1.0,-0.3031248226761818,1.5969090461730957,0.0,0.0,0.0,0.0,1,1,local,window_4,"[10, 14]",[3],,,,,45,1,256,0.21035332785538208,0.001584000012371689,1,0
clean_facet_type,validation,hotpotqa,5adc3aff5542996e685252eb,11,0.2,1,w4_s2,window,max,True,question,"[10, 28]",18,9,2,4,0.0,0.25,0.0,0.0,1.0,1.0,-0.3031248226761818,1.5969090461730957,0.0,0.0,0.0,0.0,1,1,local,window_4,"[10, 14]",[3],,,,,45,1,256,0.21035332785538208,0.001584000012371689,1,0
