partition,dataset,example_id,seed,root_mode,root_parent,entry_facet,root_available,K_search,B_ceiling,B_label,theta_edge,theta_goal,max_hops,strategy,different_facet_goal,goal_triggered,goal_correct,false_goal,goal_precision,terminal_parent,terminal_facet,terminal_classification,terminal_text,question,path,path_depth,stop_reason,visited,visited_count,frontier_size,nodes_expanded,raw_proposals,edge_admitted_candidates,duplicate_proposals,cycles_prevented,peak_frontier,goal_tests,goal_comparisons,adjacency_lookup_comparisons,native_dot_products,oracle_parent,oracle_recall,oracle_precision,complete_oracle,later_oracle_recall,chain_complete,search_seconds,goal_test_seconds,cpu_dedup_seconds,root_routing_seconds,graph_index_build_seconds,total_routing_seconds,candidate_tensor_bytes,logical_reference_tokens,logical_parent_count,conceptual_active_parent_count,conceptual_active_parent_fraction,materialized_parent_count,materialized_native_kv_tokens,active_native_kv_fraction,native_kv_bytes,peak_active_parent_count,query_facet_count,query_support_tokens,cpu_reference_cache_bytes,adjacency_cache_bytes,goal_cache_bytes,routing_cache_bytes,h2d_transfer_bytes,h2d_transfer_seconds,prep_baseline_gpu_allocated_bytes,prep_peak_gpu_allocated_bytes,prep_peak_gpu_reserved_bytes,search_peak_gpu_allocated_bytes,search_peak_gpu_reserved_bytes,active_kv_tokens,generation_performed,tpot,theta_edge_label,theta_goal_label,condition_id,root_count_requested
validation,hotpotqa,5adc3aff5542996e685252eb,11,oracle,[2],"{""2"": 7}",1.0,4,6,6,,,4,best_first,False,0.0,0.0,0.0,,,,no_terminal,,What star in the film Up at the Villa has earned the title of knighthood?,[],,visited_budget,"[2, 3, 0, 4, 1]",5,4,2,8,4,4,1,4,4,72,8,23697424,"[2, 4]",1.0,0.4,1.0,1.0,1.0,2.119072099972982,0.013358699972741306,3.250001464039087e-05,0.03345319995423779,0.5042230000253767,2.6567482999525964,100,1217,5,5,1.0,0,0,0.0,0,5,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,8526848,327155712,0,False,,open,closed,K4_B6_Eopen_Gclosed_H4_best_first_selected,1
validation,hotpotqa,5adc3aff5542996e685252eb,23,oracle,[2],"{""2"": 15}",1.0,4,6,6,,,4,best_first,False,0.0,0.0,0.0,,,,no_terminal,,What star in the film Up at the Villa has earned the title of knighthood?,[],,visited_budget,"[2, 3, 0, 4, 1]",5,4,2,8,4,4,1,4,4,72,8,23697424,"[2, 4]",1.0,0.4,1.0,1.0,1.0,0.011717699992004782,0.004805200034752488,1.680001150816679e-05,0.0017500999965704978,0.5042230000253767,0.517690800013952,100,1217,5,5,1.0,0,0,0.0,0,5,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,8526848,327155712,0,False,,open,closed,K4_B6_Eopen_Gclosed_H4_best_first_selected,1
validation,hotpotqa,5adc3aff5542996e685252eb,37,oracle,[2],"{""2"": 15}",1.0,4,6,6,,,4,best_first,False,0.0,0.0,0.0,,,,no_terminal,,What star in the film Up at the Villa has earned the title of knighthood?,[],,visited_budget,"[2, 3, 0, 4, 1]",5,4,2,8,4,4,1,4,4,72,8,23697424,"[2, 4]",1.0,0.4,1.0,1.0,1.0,0.01098610000917688,0.0037379999412223697,1.1499971151351929e-05,0.0012867000186815858,0.5042230000253767,0.5164958000532351,100,1217,5,5,1.0,0,0,0.0,0,5,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,8526848,327155712,0,False,,open,closed,K4_B6_Eopen_Gclosed_H4_best_first_selected,1
validation,hotpotqa,5adc3aff5542996e685252eb,53,oracle,[2],"{""2"": 15}",1.0,4,6,6,,,4,best_first,False,0.0,0.0,0.0,,,,no_terminal,,What star in the film Up at the Villa has earned the title of knighthood?,[],,visited_budget,"[2, 3, 0, 4, 1]",5,4,2,8,4,4,1,4,4,72,8,23697424,"[2, 4]",1.0,0.4,1.0,1.0,1.0,0.008576599997468293,0.002852399949915707,1.1299969628453255e-05,0.001447599963285029,0.5042230000253767,0.51424719998613,100,1217,5,5,1.0,0,0,0.0,0,5,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,8526848,327155712,0,False,,open,closed,K4_B6_Eopen_Gclosed_H4_best_first_selected,1
validation,hotpotqa,5adc3aff5542996e685252eb,71,oracle,[2],"{""2"": 16}",1.0,4,6,6,,,4,best_first,False,0.0,0.0,0.0,,,,no_terminal,,What star in the film Up at the Villa has earned the title of knighthood?,[],,visited_budget,"[2, 3, 0, 4, 1]",5,4,2,8,4,4,1,4,4,72,8,23697424,"[2, 4]",1.0,0.4,1.0,1.0,1.0,0.00951189995976165,0.0030199000611901283,3.190001007169485e-05,0.001166700036264956,0.5042230000253767,0.5149016000214033,100,1217,5,5,1.0,0,0,0.0,0,5,18,18,620984671,100,360,460,7763480,0.005010599968954921,5242880,77487616,90177536,8526848,327155712,0,False,,open,closed,K4_B6_Eopen_Gclosed_H4_best_first_selected,1
validation,hotpotqa,5ab56db7554299494045efc6,11,oracle,[0],"{""0"": 3}",1.0,4,6,6,,,4,best_first,False,0.0,0.0,0.0,,,,no_terminal,,Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,[],,visited_budget,"[0, 2, 4, 1, 3]",5,4,2,8,4,4,1,4,4,80,8,25847056,"[0, 3]",1.0,0.4,1.0,1.0,1.0,0.008301699999719858,0.0027504999889060855,2.7999980375170708e-05,0.0019304000306874514,0.11909649998415262,0.12932860001455992,100,1271,5,5,1.0,0,0,0.0,0,5,20,20,620984671,100,400,500,7968320,0.003381500020623207,21540864,77542400,90177536,8526848,327155712,0,False,,open,closed,K4_B6_Eopen_Gclosed_H4_best_first_selected,1
validation,hotpotqa,5ab56db7554299494045efc6,23,oracle,[0],"{""0"": 3}",1.0,4,6,6,,,4,best_first,False,0.0,0.0,0.0,,,,no_terminal,,Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,[],,visited_budget,"[0, 2, 4, 1, 3]",5,4,2,8,4,4,1,4,4,80,8,25847056,"[0, 3]",1.0,0.4,1.0,1.0,1.0,0.008764099969994277,0.0030012999195605516,1.0400020983070135e-05,0.001616800029296428,0.11909649998415262,0.12947739998344332,100,1271,5,5,1.0,0,0,0.0,0,5,20,20,620984671,100,400,500,7968320,0.003381500020623207,21540864,77542400,90177536,8526848,327155712,0,False,,open,closed,K4_B6_Eopen_Gclosed_H4_best_first_selected,1
validation,hotpotqa,5ab56db7554299494045efc6,37,oracle,[0],"{""0"": 12}",1.0,4,6,6,,,4,best_first,False,0.0,0.0,0.0,,,,no_terminal,,Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,[],,visited_budget,"[0, 2, 4, 1, 3]",5,4,2,8,4,4,1,4,4,80,8,25847056,"[0, 3]",1.0,0.4,1.0,1.0,1.0,0.008949999988544732,0.0034911000402644277,2.440001117065549e-05,0.0012610999983735383,0.11909649998415262,0.12930759997107089,100,1271,5,5,1.0,0,0,0.0,0,5,20,20,620984671,100,400,500,7968320,0.003381500020623207,21540864,77542400,90177536,8526848,327155712,0,False,,open,closed,K4_B6_Eopen_Gclosed_H4_best_first_selected,1
validation,hotpotqa,5ab56db7554299494045efc6,53,oracle,[0],"{""0"": 3}",1.0,4,6,6,,,4,best_first,False,0.0,0.0,0.0,,,,no_terminal,,Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,[],,visited_budget,"[0, 2, 4, 1, 3]",5,4,2,8,4,4,1,4,4,80,8,25847056,"[0, 3]",1.0,0.4,1.0,1.0,1.0,0.008055299986153841,0.0027697000186890364,2.8699927497655153e-05,0.0012404999579302967,0.11909649998415262,0.12839229992823675,100,1271,5,5,1.0,0,0,0.0,0,5,20,20,620984671,100,400,500,7968320,0.003381500020623207,21540864,77542400,90177536,8526848,327155712,0,False,,open,closed,K4_B6_Eopen_Gclosed_H4_best_first_selected,1
validation,hotpotqa,5ab56db7554299494045efc6,71,oracle,[0],"{""0"": 3}",1.0,4,6,6,,,4,best_first,False,0.0,0.0,0.0,,,,no_terminal,,Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,[],,visited_budget,"[0, 2, 4, 1, 3]",5,4,2,8,4,4,1,4,4,80,8,25847056,"[0, 3]",1.0,0.4,1.0,1.0,1.0,0.009546899993438274,0.0030573999974876642,1.2299977242946625e-05,0.0012190000270493329,0.11909649998415262,0.12986240000464022,100,1271,5,5,1.0,0,0,0.0,0,5,20,20,620984671,100,400,500,7968320,0.003381500020623207,21540864,77542400,90177536,8526848,327155712,0,False,,open,closed,K4_B6_Eopen_Gclosed_H4_best_first_selected,1
test,hotpotqa,5ab2b863554299295394685a,11,oracle,[3],"{""3"": 3}",1.0,4,6,6,,,4,best_first,False,0.0,0.0,0.0,,,,no_terminal,,New Hampshire Route 118 runs through a region whose norther boundary begins at which town?,[],,visited_budget,"[3, 5, 4, 0, 2, 1]",6,4,5,20,5,15,3,4,5,100,25,37405456,"[3, 4]",1.0,0.3333333333333333,1.0,1.0,1.0,0.020861900004092604,0.003501800005324185,5.8100034948438406e-05,0.002659899997524917,0.16608930000802502,0.18961110000964254,104,1529,6,6,1.0,0,0,0.0,0,6,20,20,620984671,144,480,624,9545600,0.0054154000245034695,21746688,91065344,100663296,8526848,327155712,0,False,,open,closed,K4_B6_Eopen_Gclosed_H4_best_first_selected,1
test,hotpotqa,5ab2b863554299295394685a,23,oracle,[3],"{""3"": 13}",1.0,4,6,6,,,4,best_first,False,0.0,0.0,0.0,,,,no_terminal,,New Hampshire Route 118 runs through a region whose norther boundary begins at which town?,[],,visited_budget,"[3, 5, 4, 0, 2, 1]",6,4,5,20,5,15,3,4,5,100,25,37405456,"[3, 4]",1.0,0.3333333333333333,1.0,1.0,1.0,0.022888600011356175,0.00542709999717772,3.50000336766243e-05,0.0013750999933108687,0.16608930000802502,0.19035300001269206,104,1529,6,6,1.0,0,0,0.0,0,6,20,20,620984671,144,480,624,9545600,0.0054154000245034695,21746688,91065344,100663296,8526848,327155712,0,False,,open,closed,K4_B6_Eopen_Gclosed_H4_best_first_selected,1
test,hotpotqa,5ab2b863554299295394685a,37,oracle,[3],"{""3"": 3}",1.0,4,6,6,,,4,best_first,False,0.0,0.0,0.0,,,,no_terminal,,New Hampshire Route 118 runs through a region whose norther boundary begins at which town?,[],,visited_budget,"[3, 5, 4, 0, 2, 1]",6,4,5,20,5,15,3,4,5,100,25,37405456,"[3, 4]",1.0,0.3333333333333333,1.0,1.0,1.0,0.018357399967499077,0.003655899956356734,2.150004729628563e-05,0.001313099986873567,0.16608930000802502,0.18575979996239766,104,1529,6,6,1.0,0,0,0.0,0,6,20,20,620984671,144,480,624,9545600,0.0054154000245034695,21746688,91065344,100663296,8526848,327155712,0,False,,open,closed,K4_B6_Eopen_Gclosed_H4_best_first_selected,1
test,hotpotqa,5ab2b863554299295394685a,53,oracle,[3],"{""3"": 6}",1.0,4,6,6,,,4,best_first,False,0.0,0.0,0.0,,,,no_terminal,,New Hampshire Route 118 runs through a region whose norther boundary begins at which town?,[],,visited_budget,"[3, 5, 4, 0, 2, 1]",6,4,5,20,5,15,3,4,5,100,25,37405456,"[3, 4]",1.0,0.3333333333333333,1.0,1.0,1.0,0.017882000014651567,0.0034725000732578337,3.679998917505145e-05,0.001402100024279207,0.16608930000802502,0.1853734000469558,104,1529,6,6,1.0,0,0,0.0,0,6,20,20,620984671,144,480,624,9545600,0.0054154000245034695,21746688,91065344,100663296,8526848,327155712,0,False,,open,closed,K4_B6_Eopen_Gclosed_H4_best_first_selected,1
test,hotpotqa,5ab2b863554299295394685a,71,oracle,[3],"{""3"": 3}",1.0,4,6,6,,,4,best_first,False,0.0,0.0,0.0,,,,no_terminal,,New Hampshire Route 118 runs through a region whose norther boundary begins at which town?,[],,visited_budget,"[3, 5, 4, 0, 2, 1]",6,4,5,20,5,15,3,4,5,100,25,37405456,"[3, 4]",1.0,0.3333333333333333,1.0,1.0,1.0,0.016822499979753047,0.004103099927306175,3.279995871707797e-05,0.0017013999749906361,0.16608930000802502,0.1846131999627687,104,1529,6,6,1.0,0,0,0.0,0,6,20,20,620984671,144,480,624,9545600,0.0054154000245034695,21746688,91065344,100663296,8526848,327155712,0,False,,open,closed,K4_B6_Eopen_Gclosed_H4_best_first_selected,1
